track,index,heading change,heading change per sec,altitude (ft),speed (kts),speed (mph),alt/speed ratio,vert rate/speed ratio,vert rate per sec
3,13904,1,0.03333333333333333,36025.0,516.0,594.0,60.648148148148145,0.04208754208754209,-0.8333333333333334
3,13908,0,0.0,36000.0,516.0,594.0,60.60606060606061,0.5892255892255892,11.666666666666666
3,13913,0,0.0,36375.0,519.0,597.0,60.92964824120603,1.7169179229480738,34.166666666666664
3,13918,0,0.0,37025.0,521.0,600.0,61.708333333333336,2.2916666666666665,45.833333333333336
3,13923,0,0.0,37750.0,519.0,597.0,63.232830820770516,1.6331658291457287,32.5
3,13929,0,0.0,38000.0,519.0,597.0,63.651591289782246,0.46063651591289784,9.166666666666666
3,13933,0,0.0,38025.0,517.0,595.0,63.90756302521008,0.0,0.0
3,13938,0,0.0,38000.0,511.0,588.0,64.62585034013605,0.04251700680272109,-0.8333333333333334
3,13943,0,0.0,38000.0,508.0,585.0,64.95726495726495,0.0,0.0
3,13947,0,0.0,38000.0,506.0,582.0,65.29209621993127,0.0,0.0
3,13952,0,0.0,38000.0,506.0,582.0,65.29209621993127,0.0,0.0
3,13957,0,0.0,38000.0,507.0,583.0,65.18010291595198,0.04288164665523156,0.8333333333333334
3,13961,0,0.0,38025.0,506.0,582.0,65.33505154639175,0.0429553264604811,0.8333333333333334
3,13965,0,0.0,38025.0,507.0,583.0,65.22298456260721,0.04288164665523156,-0.8333333333333334
3,13970,0,0.0,38000.0,507.0,583.0,65.18010291595198,0.04288164665523156,-0.8333333333333334
3,13975,0,0.0,38000.0,507.0,583.0,65.18010291595198,0.04288164665523156,0.8333333333333334
3,13979,0,0.0,38025.0,508.0,585.0,65.0,0.042735042735042736,0.8333333333333334
3,13983,0,0.0,38025.0,508.0,585.0,65.0,0.0,0.0
3,13987,0,0.0,38025.0,510.0,587.0,64.77853492333901,0.0,0.0
3,13992,0,0.0,38025.0,510.0,587.0,64.77853492333901,0.0,0.0
3,13996,0,0.0,38025.0,515.0,593.0,64.12310286677909,0.04215851602023609,-0.8333333333333334
3,14000,0,0.0,38000.0,513.0,590.0,64.40677966101696,0.0423728813559322,-0.8333333333333334
3,14005,0,0.0,38000.0,516.0,594.0,63.97306397306397,0.0,0.0
3,14010,0,0.0,38000.0,513.0,590.0,64.40677966101696,0.0423728813559322,0.8333333333333334
3,14014,0,0.0,38025.0,515.0,593.0,64.12310286677909,0.2580101180438449,-4.935483870967742
3,14018,4,0.2222222222222222,37875.0,511.0,588.0,64.41326530612245,1.75,-57.166666666666664
3,14022,7,0.4117647058823529,37425.0,504.0,580.0,64.52586206896552,2.586206896551724,-88.23529411764706
3,14025,8,0.4,36950.0,493.0,567.0,65.16754850088184,2.437389770723104,-69.1
3,14027,6,0.3333333333333333,36550.0,482.0,555.0,65.85585585585585,1.9513513513513514,-60.166666666666664
3,14030,6,0.3333333333333333,36300.0,470.0,541.0,67.09796672828097,2.022181146025878,-60.77777777777778
3,14036,2,0.06666666666666667,35675.0,462.0,532.0,67.05827067669173,2.8665413533834587,-50.833333333333336
3,14041,0,0.0,34775.0,464.0,534.0,65.12172284644194,3.0898876404494384,-55.0
3,14045,1,0.03333333333333333,34025.0,460.0,529.0,64.3194706994329,1.4650283553875236,-25.833333333333332
3,14049,1,0.03333333333333333,34000.0,457.0,526.0,64.63878326996198,0.8079847908745247,-14.166666666666666
3,14055,0,0.0,33600.0,459.0,528.0,63.63636363636363,1.9886363636363635,-35.0
3,14061,0,0.0,32950.0,457.0,526.0,62.6425855513308,3.612167300380228,-63.333333333333336
3,14065,0,0.0,31700.0,465.0,535.0,59.25233644859813,4.579439252336448,-81.66666666666667
3,14070,1,0.03333333333333333,30500.0,469.0,540.0,56.48148148148148,3.096296296296296,-55.733333333333334
3,14076,0,0.0,30000.0,471.0,542.0,55.35055350553505,0.8487084870848709,-14.838709677419354
3,14081,0,0.0,30025.0,474.0,545.0,55.091743119266056,0.045871559633027525,0.8064516129032258
3,14087,1,0.03333333333333333,30025.0,476.0,548.0,54.79014598540146,0.058394160583941604,-1.0666666666666667
3,14090,6,0.35294117647058826,30000.0,469.0,540.0,55.55555555555556,0.15,-4.764705882352941
3,14093,14,0.7,29975.0,436.0,502.0,59.711155378486055,0.0,0.0
3,14097,10,0.5882352941176471,30000.0,408.0,470.0,63.829787234042556,0.12340425531914893,3.411764705882353
3,14103,1,0.02857142857142857,30025.0,381.0,438.0,68.55022831050228,0.5707762557077626,-7.142857142857143
3,14108,2,0.06451612903225806,29725.0,394.0,453.0,65.61810154525386,1.620309050772627,-23.677419354838708
3,14111,10,0.625,29450.0,390.0,449.0,65.59020044543429,1.670378619153675,-46.875
3,14114,15,0.6818181818181818,29250.0,378.0,435.0,67.24137931034483,1.3126436781609196,-25.954545454545453
3,14116,12,0.6,29050.0,367.0,422.0,68.8388625592417,2.2369668246445498,-47.2
3,14121,7,0.16666666666666666,28275.0,365.0,420.0,67.32142857142857,2.480952380952381,-24.80952380952381
3,14127,2,0.06666666666666667,27800.0,365.0,420.0,66.19047619047619,2.261904761904762,-31.666666666666668
3,14130,1,0.03333333333333333,27325.0,365.0,420.0,65.05952380952381,2.0833333333333335,-29.166666666666668
3,14134,0,0.0,26925.0,365.0,420.0,64.10714285714286,1.9904761904761905,-27.866666666666667
3,14138,0,0.0,26475.0,364.0,419.0,63.18615751789976,2.171837708830549,-29.35483870967742
3,14141,0,0.0,26000.0,364.0,419.0,62.05250596658711,2.4463007159904535,-34.166666666666664
3,14144,0,0.0,25450.0,360.0,414.0,61.47342995169082,4.2270531400966185,-58.333333333333336
3,14149,0,0.0,24250.0,360.0,414.0,58.57487922705314,6.0,-82.8
3,14151,0,0.0,22925.0,361.0,415.0,55.24096385542169,6.103614457831325,-81.70967741935483
3,14156,0,0.0,21675.0,362.0,417.0,51.97841726618705,5.995203836930456,-83.33333333333333
3,14160,0,0.0,20425.0,363.0,418.0,48.86363636363637,5.921052631578948,-82.5
3,14165,0,0.0,19200.0,363.0,418.0,45.933014354066984,5.741626794258373,-80.0
3,14168,0,0.0,18025.0,362.0,417.0,43.225419664268586,5.4556354916067145,-75.83333333333333
3,14172,1,0.03333333333333333,16925.0,360.0,414.0,40.88164251207729,5.241545893719807,-72.33333333333333
3,14173,15,0.8823529411764706,16325.0,355.0,409.0,39.914425427872864,4.71638141809291,-113.47058823529412
3,14176,22,1.2222222222222223,15800.0,348.0,400.0,39.5,3.6475,-81.05555555555556
3,14179,17,0.8947368421052632,15425.0,338.0,389.0,39.652956298200515,3.3059125964010283,-67.6842105263158
3,14183,3,0.1,14750.0,323.0,372.0,39.6505376344086,3.4274193548387095,-42.5
3,14186,1,0.03333333333333333,14150.0,320.0,368.0,38.45108695652174,3.7364130434782608,-45.833333333333336
3,14191,0,0.0,13375.0,327.0,376.0,35.5718085106383,4.720744680851064,-59.166666666666664
3,14194,1,0.03333333333333333,12375.0,329.0,379.0,32.65171503957784,5.145118733509235,-65.0
